,State,City,City Population,State Population,State Area (sq. km),Forest Area(sq. km in state),Registered Vehicles in State,Framing Area (Th. Ha. in state),Farmers (in state),Factories (in state),Shipping Cargo Volume ( million metric tons in state),Temperature,Pressure,Humidity,Wind,Precipitation,Clouds,Sunshine,aqi,missing_aqi,capacity_coal,capacity_gas
145,maharashtra,jalna,262034.0,127684000.0,307713.0,50798.0,37786256.0,53.62,13486140.0,0.0,218.73,293.82,996.42,52.71,2.31,0.0,15.3,214.69,142.0,0.032258064516129,16750.0,3460.0
146,maharashtra,kalyan,1262255.0,127684000.0,307713.0,50798.0,37786256.0,53.62,13486140.0,0.0,218.73,297.29,1012.63,54.81,2.05,0.0,11.14,230.54,114.72413793103448,0.064516129032258,16750.0,3460.0
147,maharashtra,kolhapur,516142.0,127684000.0,307713.0,50798.0,37786256.0,53.62,13486140.0,0.0,218.73,294.76,984.05,59.57,2.2,0.0,19.56,188.54,133.29032258064515,0.0,16750.0,3460.0
148,maharashtra,latur,348967.0,127684000.0,307713.0,50798.0,37786256.0,53.62,13486140.0,0.0,218.73,294.82,984.97,50.87,2.69,0.01,18.25,209.92,120.22222222222224,0.1290322580645161,16750.0,3460.0
150,maharashtra,malegaon,435362.0,127684000.0,307713.0,50798.0,37786256.0,53.62,13486140.0,0.0,218.73,293.67,987.64,49.72,2.32,0.0,12.69,242.46,134.90322580645162,0.0,16750.0,3460.0
151,maharashtra,mumbai,12691836.0,127684000.0,307713.0,50798.0,37786256.0,53.62,13486140.0,0.0,218.73,298.4,1015.77,64.39,3.17,0.0,11.22,223.62,116.25806451612904,0.0,16750.0,3460.0
152,maharashtra,nagpur,2228018.0,127684000.0,307713.0,50798.0,37786256.0,53.62,13486140.0,0.0,218.73,293.77,1013.42,59.99,1.64,0.01,17.05,189.62,164.3548387096774,0.0,16750.0,3460.0
153,maharashtra,nanded,550564.0,127684000.0,307713.0,50798.0,37786256.0,53.62,13486140.0,0.0,218.73,293.77,1013.42,59.99,1.64,0.01,17.05,189.62,137.1851851851852,0.1290322580645161,16750.0,3460.0
154,maharashtra,nashik,1289497.0,127684000.0,307713.0,50798.0,37786256.0,53.62,13486140.0,0.0,218.73,292.83,981.66,52.38,2.2,0.0,12.67,237.69,117.4516129032258,0.0,16750.0,3460.0
156,maharashtra,parbhani,289629.0,127684000.0,307713.0,50798.0,37786256.0,53.62,13486140.0,0.0,218.73,295.11,996.23,50.86,2.39,0.0,16.4,220.77,123.74193548387096,0.0,16750.0,3460.0
157,maharashtra,pune,2935744.0,127684000.0,307713.0,50798.0,37786256.0,53.62,13486140.0,0.0,218.73,293.89,984.38,54.6,2.11,0.0,13.41,228.31,128.7741935483871,0.0,16750.0,3460.0
158,maharashtra,sangli,601214.0,127684000.0,307713.0,50798.0,37786256.0,53.62,13486140.0,0.0,218.73,295.11,983.74,56.52,2.56,0.0,19.46,188.15,139.9,0.032258064516129,16750.0,3460.0
159,maharashtra,solapur,997281.0,127684000.0,307713.0,50798.0,37786256.0,53.62,13486140.0,0.0,218.73,296.49,990.87,49.65,2.93,0.0,18.07,214.92,120.16129032258064,0.0,16750.0,3460.0
160,maharashtra,thane,1261517.0,127684000.0,307713.0,50798.0,37786256.0,53.62,13486140.0,0.0,218.73,297.86,1014.56,60.58,2.66,0.0,11.28,222.38,160.29032258064515,0.0,16750.0,3460.0
161,maharashtra,ulhasnagar,516584.0,127684000.0,307713.0,50798.0,37786256.0,53.62,13486140.0,0.0,218.73,297.36,1012.75,55.46,2.09,0.0,11.17,228.46,200.76666666666668,0.032258064516129,16750.0,3460.0
162,maharashtra,virar,150357.0,127684000.0,307713.0,50798.0,37786256.0,53.62,13486140.0,0.0,218.73,298.38,1016.13,64.16,3.45,0.0,10.66,234.31,128.06896551724137,0.064516129032258,16750.0,3460.0
163,manipur,imphal,223523.0,3260000.0,22327.0,16598.0,361970.0,18.37,114918.0,952.0,0.0,285.85,978.25,75.42,1.24,0.01,26.42,88.54,110.25806451612904,0.0,0.0,0.0
164,meghalaya,shillong,132842.0,3387000.0,22429.0,17046.0,365804.0,12.45,198364.0,293.0,0.0,286.27,984.09,76.99,1.17,0.02,33.25,93.15,72.41935483870968,0.0,0.0,0.0
165,mizoram,aizawl,265331.0,1252000.0,21081.0,17820.0,267350.0,7.1,41787.0,4.0,0.0,287.16,990.53,76.78,1.06,0.02,24.4,165.31,43.27586206896552,0.064516129032258,0.0,0.0
182,puducherry,puducherry,227411.0,1695000.0,490.0,53.3,1118782.0,33.81,68391.0,2139.0,4.07,298.47,1017.89,82.61,4.3,0.03,39.96,89.92,75.62068965517241,0.064516129032258,0.0,32.5
183,punjab,amritsar,1092450.0,30992000.0,50362.0,1847.0,11336366.0,81.7,1588455.0,0.0,0.0,284.29,1014.52,73.93,1.92,0.02,36.75,132.38,147.38709677419354,0.0,3320.0,0.0
184,punjab,bathinda,242800.0,30992000.0,50362.0,1847.0,11336366.0,81.7,1588455.0,0.0,0.0,286.38,1011.5,63.9,2.19,0.03,22.57,193.85,100.10344827586206,0.064516129032258,3320.0,0.0
185,punjab,jalandhar,785178.0,30992000.0,50362.0,1847.0,11336366.0,81.7,1588455.0,0.0,0.0,284.91,1008.78,71.71,2.19,0.03,28.46,179.85,143.48275862068965,0.064516129032258,3320.0,0.0
186,punjab,khanna,117137.0,30992000.0,50362.0,1847.0,11336366.0,81.7,1588455.0,0.0,0.0,285.2,1008.33,68.71,2.63,0.04,25.74,185.54,116.13333333333334,0.032258064516129,3320.0,0.0
187,punjab,ludhiana,1545368.0,30992000.0,50362.0,1847.0,11336366.0,81.7,1588455.0,0.0,0.0,284.95,1008.25,71.84,2.35,0.04,28.58,176.62,171.53333333333333,0.032258064516129,3320.0,0.0
189,punjab,patiala,329224.0,30992000.0,50362.0,1847.0,11336366.0,81.7,1588455.0,0.0,0.0,285.41,1007.68,69.11,2.68,0.04,25.3,189.31,139.2,0.032258064516129,3320.0,0.0
191,rajasthan,ajmer,517911.0,82188000.0,342239.0,16655.0,19236010.0,53.74,4939664.0,12169.0,0.0,287.99,996.77,51.56,2.28,0.01,11.62,252.69,111.7741935483871,0.0,4955.0,856.8
192,rajasthan,alwar,283228.0,82188000.0,342239.0,16655.0,19236010.0,53.74,4939664.0,12169.0,0.0,286.65,1004.95,62.64,1.91,0.02,16.32,224.08,123.6774193548387,0.0,4955.0,856.8
196,rajasthan,bharatpur,229384.0,82188000.0,342239.0,16655.0,19236010.0,53.74,4939664.0,12169.0,0.0,287.25,1010.78,68.27,2.14,0.01,15.59,231.31,239.71428571428572,0.0967741935483871,4955.0,856.8
197,rajasthan,bhilwara,326431.0,82188000.0,342239.0,16655.0,19236010.0,53.74,4939664.0,12169.0,0.0,288.4,996.71,56.29,2.16,0.01,11.39,230.08,179.06896551724137,0.064516129032258,4955.0,856.8
199,rajasthan,bikaner,576015.0,82188000.0,342239.0,16655.0,19236010.0,53.74,4939664.0,12169.0,0.0,287.73,1010.36,54.07,2.4,0.01,15.6,226.77,271.2903225806452,0.0,4955.0,856.8
206,rajasthan,hanumangarh,155687.0,82188000.0,342239.0,16655.0,19236010.0,53.74,4939664.0,12169.0,0.0,286.82,1012.65,60.03,2.13,0.01,20.15,204.69,312.2903225806452,0.0,4955.0,856.8
207,rajasthan,jaipur,2711758.0,82188000.0,342239.0,16655.0,19236010.0,53.74,4939664.0,12169.0,0.0,288.3,1014.04,61.94,1.98,0.0,19.86,170.69,231.83870967741936,0.0,4955.0,856.8
212,rajasthan,jodhpur,921476.0,82188000.0,342239.0,16655.0,19236010.0,53.74,4939664.0,12169.0,0.0,289.42,1007.51,45.77,2.82,0.01,10.81,256.38,160.25806451612902,0.0,4955.0,856.8
214,rajasthan,kota,763088.0,82188000.0,342239.0,16655.0,19236010.0,53.74,4939664.0,12169.0,0.0,288.94,1001.89,58.57,1.94,0.01,11.71,246.77,245.4516129032258,0.0,4955.0,856.8
216,rajasthan,pali,210103.0,82188000.0,342239.0,16655.0,19236010.0,53.74,4939664.0,12169.0,0.0,289.9,1009.34,46.61,2.53,0.0,9.89,259.46,201.27586206896552,0.064516129032258,4955.0,856.8
220,rajasthan,sikar,199932.0,82188000.0,342239.0,16655.0,19236010.0,53.74,4939664.0,12169.0,0.0,286.98,997.84,51.59,2.34,0.01,14.9,232.31,238.43333333333337,0.032258064516129,4955.0,856.8
223,rajasthan,tonk,151331.0,82188000.0,342239.0,16655.0,19236010.0,53.74,4939664.0,12169.0,0.0,288.41,1003.98,57.82,2.13,0.01,12.22,247.62,191.78571428571428,0.0967741935483871,4955.0,856.8
224,rajasthan,udaipur,422784.0,82188000.0,342239.0,16655.0,19236010.0,53.74,4939664.0,12169.0,0.0,288.2,989.22,54.18,2.12,0.01,11.27,238.46,146.74193548387098,0.0,4955.0,856.8
228,tamil nadu,chennai,4328063.0,77165000.0,130060.0,26419.0,32094588.0,37.12,9606547.0,28200.0,140.37,299.01,1014.56,76.84,2.97,0.01,32.5,29.54,103.90322580645162,0.0,12160.0,1013.49
229,tamil nadu,coimbatore,959823.0,77165000.0,130060.0,26419.0,32094588.0,37.12,9606547.0,28200.0,140.37,297.33,1001.13,66.3,2.33,0.02,35.43,54.77,99.1923076923077,0.1612903225806451,12160.0,1013.49
230,tamil nadu,cuddalore,158569.0,77165000.0,130060.0,26419.0,32094588.0,37.12,9606547.0,28200.0,140.37,298.47,1017.82,82.68,4.46,0.03,38.63,96.54,78.64285714285714,0.0967741935483871,12160.0,1013.49
234,tamil nadu,kanchipuram,155029.0,77165000.0,130060.0,26419.0,32094588.0,37.12,9606547.0,28200.0,140.37,298.13,1013.28,75.07,2.9,0.01,37.32,44.31,99.83333333333331,0.8064516129032258,12160.0,1013.49
244,tamil nadu,salem,778396.0,77165000.0,130060.0,26419.0,32094588.0,37.12,9606547.0,28200.0,140.37,296.87,1001.93,69.89,2.1,0.03,36.71,104.69,85.0952380952381,0.3225806451612903,12160.0,1013.49
246,tamil nadu,thoothukudi,410760.0,77165000.0,130060.0,26419.0,32094588.0,37.12,9606547.0,28200.0,140.37,298.12,1002.8,73.5,2.68,0.05,41.18,89.15,51.74193548387097,0.0,12160.0,1013.49
247,tamil nadu,tiruchirappalli,775484.0,77165000.0,130060.0,26419.0,32094588.0,37.12,9606547.0,28200.0,140.37,298.8,1012.71,72.95,3.15,0.01,32.62,29.69,69.8,0.6774193548387096,12160.0,1013.49
250,tamil nadu,vellore,177081.0,77165000.0,130060.0,26419.0,32094588.0,37.12,9606547.0,28200.0,140.37,295.66,1001.07,74.38,2.3,0.02,35.85,125.92,93.23076923076924,0.5806451612903226,12160.0,1013.49
254,uttar pradesh,agra,1430055.0,238875000.0,240928.0,14818.0,34924824.0,68.56,19939223.0,0.0,0.0,287.48,1013.13,69.28,2.23,0.01,15.15,229.46,121.25806451612904,0.0,16608.0,1469.0
256,uttar pradesh,bareilly,745435.0,238875000.0,240928.0,14818.0,34924824.0,68.56,19939223.0,0.0,0.0,287.04,1012.18,71.66,2.5,0.02,19.58,189.15,80.45161290322581,0.0,16608.0,1469.0
257,uttar pradesh,bulandshahr,198612.0,238875000.0,240928.0,14818.0,34924824.0,68.56,19939223.0,0.0,0.0,286.66,1010.83,71.45,2.52,0.02,18.76,212.92,229.74193548387095,0.0,16608.0,1469.0
258,uttar pradesh,firozabad,306409.0,238875000.0,240928.0,14818.0,34924824.0,68.56,19939223.0,0.0,0.0,287.37,1013.99,68.66,2.3,0.02,15.34,228.23,114.70967741935485,0.0,16608.0,1469.0
259,uttar pradesh,ghaziabad,1199191.0,238875000.0,240928.0,14818.0,34924824.0,68.56,19939223.0,0.0,0.0,286.22,1015.41,70.98,2.4,0.01,26.44,154.54,293.8709677419355,0.0,16608.0,1469.0
260,uttar pradesh,gorakhpur,674246.0,238875000.0,240928.0,14818.0,34924824.0,68.56,19939223.0,0.0,0.0,288.09,1017.35,70.98,2.46,0.02,15.84,211.0,130.82758620689654,0.064516129032258,16608.0,1469.0
262,uttar pradesh,hapur,242920.0,238875000.0,240928.0,14818.0,34924824.0,68.56,19939223.0,0.0,0.0,286.62,1014.62,71.19,2.56,0.01,23.47,172.92,209.1,0.032258064516129,16608.0,1469.0
263,uttar pradesh,jhansi,412927.0,238875000.0,240928.0,14818.0,34924824.0,68.56,19939223.0,0.0,0.0,288.38,1004.63,64.21,2.03,0.02,13.98,237.15,118.06451612903226,0.0,16608.0,1469.0
264,uttar pradesh,kanpur,2823249.0,238875000.0,240928.0,14818.0,34924824.0,68.56,19939223.0,0.0,0.0,287.51,1015.58,72.16,2.1,0.03,29.72,170.08,151.16129032258064,0.0,16608.0,1469.0
266,uttar pradesh,lucknow,2472011.0,238875000.0,240928.0,14818.0,34924824.0,68.56,19939223.0,0.0,0.0,286.76,1016.24,81.8,1.81,0.01,37.76,130.08,180.25806451612905,0.0,16608.0,1469.0
267,uttar pradesh,meerut,1223184.0,238875000.0,240928.0,14818.0,34924824.0,68.56,19939223.0,0.0,0.0,286.49,1009.86,69.33,2.6,0.03,20.57,208.54,214.5806451612903,0.0,16608.0,1469.0
268,uttar pradesh,moradabad,721139.0,238875000.0,240928.0,14818.0,34924824.0,68.56,19939223.0,0.0,0.0,286.77,1010.98,71.58,2.48,0.03,22.1,185.85,137.38709677419354,0.0,16608.0,1469.0
269,uttar pradesh,muzaffarnagar,349706.0,238875000.0,240928.0,14818.0,34924824.0,68.56,19939223.0,0.0,0.0,286.03,1008.14,71.06,2.54,0.03,22.57,203.38,276.7741935483871,0.0,16608.0,1469.0
270,uttar pradesh,noida,293908.0,238875000.0,240928.0,14818.0,34924824.0,68.56,19939223.0,0.0,0.0,286.24,1016.25,70.26,2.35,0.02,26.15,152.46,306.4193548387097,0.0,16608.0,1469.0
272,uttar pradesh,varanasi,1164404.0,238875000.0,240928.0,14818.0,34924824.0,68.56,19939223.0,0.0,0.0,287.77,1016.65,80.49,1.96,0.02,29.65,144.15,69.45161290322581,0.0,16608.0,1469.0
277,west bengal,asansol,504271.0,99723000.0,88752.0,16832.0,10915952.0,60.06,10188842.0,0.0,65.66,292.04,1013.82,60.61,2.44,0.05,21.89,186.69,223.7741935483871,0.0,11145.0,80.0
279,west bengal,durgapur,518872.0,99723000.0,88752.0,16832.0,10915952.0,60.06,10188842.0,0.0,65.66,291.09,1017.39,63.83,2.32,0.01,15.4,197.46,201.1034482758621,0.064516129032258,11145.0,80.0
280,west bengal,haldia,170695.0,99723000.0,88752.0,16832.0,10915952.0,60.06,10188842.0,0.0,65.66,293.1,1019.97,61.19,2.57,0.01,18.83,220.54,141.03333333333333,0.032258064516129,11145.0,80.0
282,west bengal,kolkata,4631392.0,99723000.0,88752.0,16832.0,10915952.0,60.06,10188842.0,0.0,65.66,291.82,1014.81,72.64,2.16,0.01,20.43,188.77,224.93548387096777,0.0,11145.0,80.0
