,Name,Location,District,State,Region,Coordinates,Unit capacities,Capacity(MW),Operator,Sector
0,Vindhyachal Super Thermal Power Station[15],Vindhya Nagar,Singrauli,Madhya Pradesh,Western,24°05′53″N 82°40′18″E﻿ / ﻿24.09806°N 82.67167°E﻿ / 24.09806; 82.67167﻿ (Vindhyachal Super Thermal Power Station),"6 x 210, 7x 500","4,760",NTPC,Central
1,Mundra Thermal Power Station,Mundra,Kutch,Gujarat,Western,22°49′22″N 69°33′10″E﻿ / ﻿22.82278°N 69.55278°E﻿ / 22.82278; 69.55278﻿ (Mundra Thermal Power Station),"4 x 330, 5 X 660","4,620",Adani Power,Private
2,Mundra Ultra Mega Power Project[16],Mundra,Kutch,Gujarat,Western,22°49′22″N 69°33′10″E﻿ / ﻿22.82278°N 69.55278°E﻿ / 22.82278; 69.55278﻿ (Mundra Ultra Mega Power Project),5 X 800,"4,000",Tata Power,Private
3,Sasan Ultra Mega Power Project,Sasan,Singrauli,Madhya Pradesh,Western,,6 x 660,"3,960",Reliance Power,Private
4,KSK Mahanadi Power Project,Nariyara,Janjgir–Champa district,Chhattisgarh,Western,22°49′22″N 69°33′10″E﻿ / ﻿22.82278°N 69.55278°E﻿ / 22.82278; 69.55278﻿ (KSK Mahanadi Power Company Limited),6 X 600,"3,600",KSK Energy Ventures,Private
5,Jindal Tamnar Thermal Power Plant,Tamnar,Raigarh,Chhattisgarh,Western,22°06′16″N 83°27′04″E﻿ / ﻿22.10444°N 83.45111°E﻿ / 22.10444; 83.45111﻿ (Jindal Megha Power Plant),"4 x 250, 4 x 600","3,400",JSPL,Private
6,Chandrapur Super Thermal Power Station,Urjanagar,Chandrapur,Maharashtra,Western,20°00′24″N 79°17′21″E﻿ / ﻿20.00667°N 79.28917°E﻿ / 20.00667; 79.28917﻿ (Chandrapur Super Thermal Power Station),"2 x 210$, 4 x 210, 5 x 500","3,340",MSPGCL (MAHAGENCO),State
7,Tirora Thermal Power Station[17],Tirora,Gondia,Maharashtra,Western,21°24′58″N 79°58′3″E﻿ / ﻿21.41611°N 79.96750°E﻿ / 21.41611; 79.96750﻿ (Tirora Thermal Power Station),5 X 660,"3,300",Adani Power,Private
8,Sipat Thermal Power Plant,Sipat,Bilaspur,Chhattisgarh,Western,22°07′57″N 82°17′24″E﻿ / ﻿22.13250°N 82.29000°E﻿ / 22.13250; 82.29000﻿ (Sipat Thermal Power Plant),"2 x 500,3 x 660","2,980",NTPC,Central
9,RKM Powergen Thermal Power Plant,Dhobnipali,Shakti,Chhattisgarh,Western,,4×360,1440,R. K. M Powergen Private Limited,Private
10,Korba Super Thermal Power Plant,Jamani Palli,Korba,Chhattisgarh,Western,22°23′11″N 82°40′58″E﻿ / ﻿22.38639°N 82.68278°E﻿ / 22.38639; 82.68278﻿ (Korba Super Thermal Power Plant),"3 x 200, 4 x 500","2,600",NTPC,Central
11,Sant Singaji Thermal Power Plant,"Dogaliya, Mundi",khandwa,Madhya Pradesh,Western,,"2 X 600, 2 X 660","2,520",MPPGC,State
12,Wanakbori Thermal Power Station,Wanakbori,Kheda,Gujarat,Western,22°52′39″N 73°21′35″E﻿ / ﻿22.87750°N 73.35972°E﻿ / 22.87750; 73.35972﻿ (Wanakbori Thermal Power Station),"7 x 210, 1 × 800","2,270",GSECL,State
13,Dada Dhuniwale Thermal Power Plant,"Guyda, Mundi",khandwa,Madhya Pradesh,Western,,2 X 800,"1,600",MPPGC,State
14,Bhusawal Thermal Power Station,Deepnagar,Jalgaon,Maharashtra,Western,21°02′57″N 75°50′32″E﻿ / ﻿21.04917°N 75.84222°E﻿ / 21.04917; 75.84222﻿ (Bhusawal Thermal Power Station),"2 x 210$, 2 x 500","1,000",MSPGCL (MAHAGENCO),State
15,Trombay Thermal Power Station,Trombay,Mumbai,Maharashtra,Western,19°00′09″N 72°53′54″E﻿ / ﻿19.00250°N 72.89833°E﻿ / 19.00250; 72.89833﻿ (Trombay Thermal Power Station),"1 x 150$, 2 x 500$, 1 x 250",750,Tata Power,Private
16,Amravati Thermal Power Plant,Nandgaonpeth,Amravati,Maharashtra,Western,21°04′49″N 77°54′06″E﻿ / ﻿21.08028°N 77.90167°E﻿ / 21.08028; 77.90167﻿ (Amravati Thermal Power Plant),"5 X 270, (5 X 270[18])","1,350",Indiabulls,Private
17,Khaparkheda Thermal Power Station,Kaparkheda,Nagpur,Maharashtra,Western,21°16′55″N 79°06′54″E﻿ / ﻿21.28194°N 79.11500°E﻿ / 21.28194; 79.11500﻿ (Khaperkheda Thermal Power Station),"4 x 210, 1 x 500","1,340",MSPGCL (MAHAGENCO),State
18,Sanjay Gandhi Thermal Power Station,Birsinghpur,Umaria,Madhya Pradesh,Western,23°18′18″N 81°03′51″E﻿ / ﻿23.30500°N 81.06417°E﻿ / 23.30500; 81.06417﻿ (Sanjay Gandhi Thermal Power Station),"4 x 210, 1 x 500","1,340",MPPGCL,State
19,Satpura Thermal Power Station,Sarni,Betul,Madhya Pradesh,Western,22°06′33″N 78°10′24″E﻿ / ﻿22.10917°N 78.17333°E﻿ / 22.10917; 78.17333﻿ (Satpura Thermal Power Station),"5 x 62.5$, 1 x 200, 3 x 210, 2 x 250","1,330",MPPGCL,State
20,Essar Salaya Power Plant,Salaya,Jamnagar district,Gujarat,Western,22°17′54.71″N 69°43′10.17″E﻿ / ﻿22.2985306°N 69.7194917°E﻿ / 22.2985306; 69.7194917﻿ (Essar Power Gujarat Ltd),2X600,"1,200",Essar Energy,Private IPP
21,DB Thermal Project Ltd.,Tundri,Janjgir-Champa,Chhattisgarh,Eastern,22°26′00″N 83°10′47″E﻿ / ﻿22.43333°N 83.17972°E﻿ / 22.43333; 83.17972﻿ (DB POWER LTD),2X600,"1,200",DB POWER,Private IPP
22,Parli Thermal Power Station,Parli-Vaijnath,Beed,Maharashtra,Western,18°54′21″N 76°32′36″E﻿ / ﻿18.90583°N 76.54333°E﻿ / 18.90583; 76.54333﻿ (Parli Thermal Power Station),"3 x 210$, 2 x 210$, 2 x 250",500,MSPGCL (MAHAGENCO),State
23,Gandhinagar Thermal Power Station,Gandhinagar,Gandhinagar,Gujarat,Western,23°14′59″N 72°40′26″E﻿ / ﻿23.24972°N 72.67389°E﻿ / 23.24972; 72.67389﻿ (Gandhinagar Thermal Power Station),"2 x 120$, 3 x 210",630,GSECL,State
24,Ukai Thermal Power Station,Ukai dam,Tapi,Gujarat,Western,21°12′39″N 73°33′26″E﻿ / ﻿21.21083°N 73.55722°E﻿ / 21.21083; 73.55722﻿ (Ukai Thermal Power Station),"2 x 120$, 2 x 200, 1 x 210, 1 x 500",1110,GSECL,State
25,Hasdeo Thermal Power Station,,Korba,Chhattisgarh,Western,22°24′45″N 82°41′19″E﻿ / ﻿22.41250°N 82.68861°E﻿ / 22.41250; 82.68861﻿ (Korba West Hasdeo Thermal Power Plant),4 x 210,840,CSPGCL,State
26,Nashik Thermal Power Station,Nashik,Nashik,Maharashtra,Western,19°58′50″N 73°53′29″E﻿ / ﻿19.98056°N 73.89139°E﻿ / 19.98056; 73.89139﻿ (Nashik Thermal Power Station),3 x 210,630,MSPGCL (MAHAGENCO),State
27,Koradi Thermal Power Station,Koradi,Nagpur,Maharashtra,Western,21°14′52″N 79°05′53″E﻿ / ﻿21.24778°N 79.09806°E﻿ / 21.24778; 79.09806﻿ (Koradi Thermal Power Station),"2 x 210$, 3 x 660",2400,MSPGCL (MAHAGENCO),State
28,Lanco Amarkantak Power Plant,Pathadi,Korba,Chhattisgarh,Western,22°14′44″N 82°43′24″E﻿ / ﻿22.24556°N 82.72333°E﻿ / 22.24556; 82.72333﻿ (Lanco Amarkantak Power Plant),2 x 300,600,Lanco Infratech,Private
29,Wardha Warora Power Plant,Warora,Chandrapur,Maharashtra,Western,"20.272483108514376, 78.98085239550917",4 x 135,540,KSK Energy Ventures,Private
30,Dr Shyama Prasad Mukharjee Thermal Power Station,,Korba,Chhattisgarh,Western,22°22′12″N 82°43′16″E﻿ / ﻿22.37000°N 82.72111°E﻿ / 22.37000; 82.72111﻿ (Dr Shyama Prasad Mukharjee Thermal Power Plant),2 x 250,500,CSPGCL,State
31,Dahanu Thermal Power Station,Dahanu,Thane,Maharashtra,Western,19°57′12″N 72°44′54″E﻿ / ﻿19.95333°N 72.74833°E﻿ / 19.95333; 72.74833﻿ (Dahanu Thermal Power Station),2 x 250,500,Adani Power,Private
32,Paras Thermal Power Station,Vidyutnagar,Akola,Maharashtra,Western,20°42′55″N 76°47′37″E﻿ / ﻿20.71528°N 76.79361°E﻿ / 20.71528; 76.79361﻿ (Paras Thermal Power Station),2 x 250,500,MSPGCL (MAHAGENCO),State
33,KSK Mahanadi Power Project,Nariyara,Bilaspur,Chhattisgarh,Western,,1 x 135,135,KSK Energy Ventures,Private
34,NSPCL Bhilai Power Plant,Bhilai,Durg,Chhattisgarh,Western,21°10′58″N 81°25′28″E﻿ / ﻿21.18278°N 81.42444°E﻿ / 21.18278; 81.42444﻿ (Bhilai Expansion Power Plant),2 x 250,500,NSPCL,Central
35,Surat Thermal Power Station,Nani Naroli,Surat,Gujarat,Western,21°23′46″N 73°06′22″E﻿ / ﻿21.39611°N 73.10611°E﻿ / 21.39611; 73.10611﻿ (Surat Thermal Power Station),4 x 125,500,Gujarat Industries Power Company Ltd.,State
36,Amarkantak Thermal Power Station,Chachai,Anuppur,Madhya Pradesh,Western,23°09′52″N 81°38′17″E﻿ / ﻿23.16444°N 81.63806°E﻿ / 23.16444; 81.63806﻿ (Amarkantak Thermal Power Station),"2 x 120$, 1 x 210",210,MPPGCL,State
37,Bhawnendra Singh Deo Power Plant,,Korba,Chhattisgarh,Western,22°23′01″N 82°43′08″E﻿ / ﻿22.38361°N 82.71889°E﻿ / 22.38361; 82.71889﻿ (Bhawnendra Singh Deo Power Plant),"4 x 50$, 2 x 120$",0,CSPGCL,State
38,Sabarmati Thermal Power Station,Ahmedabad,Ahmedabad,Gujarat,Western,23°04′14″N 72°35′38″E﻿ / ﻿23.07056°N 72.59389°E﻿ / 23.07056; 72.59389﻿ (Sabarmati Thermal Power Station),"1 x 60$, 1 x 120, 2 x 121",362,Torrent Power,Private
39,CESC Chandrapur Thermal Power Station[19][20][21],Chandrapur,Chandrapur,Maharashtra,Western,,2 x 300,600,CESC,Private
40,Kutch Thermal Power Station,Panandhro,Kutch,Gujarat,Western,23°39′50″N 68°47′01″E﻿ / ﻿23.66389°N 68.78361°E﻿ / 23.66389; 68.78361﻿ (Kutch Thermal Power Station),"2 x 70$, 2 x 75",150,GSECL,State
41,Akrimota Thermal Power Station,Chher Nani,Kutch,Gujarat,Western,23°46′21″N 68°38′44″E﻿ / ﻿23.77250°N 68.64556°E﻿ / 23.77250; 68.64556﻿ (Akrimota Thermal Power Station),2 x 125,250,GMDC,State
42,Sikka Thermal Power Station,Jamnagar,Jamnagar,Gujarat,Western,22°25′20″N 69°49′37″E﻿ / ﻿22.42222°N 69.82694°E﻿ / 22.42222; 69.82694﻿ (Sikka Thermal Power Station),"2 x 120$, 2 x 250",500,GSECL,State
43,Dhuvaran Thermal Power Station,Khambhat,Anand,Gujarat,Western,22°13′59″N 72°45′25″E﻿ / ﻿22.23306°N 72.75694°E﻿ / 22.23306; 72.75694﻿ (Dhuvaran Thermal Power Station),2 x 110$,-,GSECL,State
44,,,,,,,,,,
45,Rihand Thermal Power Station,Rihand Nagar,Sonbhadra,Uttar Pradesh,Northern,24°01′39″N 82°47′28″E﻿ / ﻿24.02750°N 82.79111°E﻿ / 24.02750; 82.79111﻿ (Rihand Thermal Power Station),6 x 500,"3,000",NTPC,Central
46,Singrauli Super Thermal Power Station,Shaktinagar,Sonbhadra,Uttar Pradesh,Northern,24°06′16″N 82°42′27″E﻿ / ﻿24.10444°N 82.70750°E﻿ / 24.10444; 82.70750﻿ (Singrauli Super Thermal Power Station),"5 x 200, 2 x 500","2,000",NTPC,Central
47,NTPC Dadri,Vidyutnagar,Gautam Budh Nagar,Uttar Pradesh,Northern,28°36′04″N 77°36′25″E﻿ / ﻿28.60111°N 77.60694°E﻿ / 28.60111; 77.60694﻿ (NTPC Dadri),"4 x 210, 2 x 490","1,820",NTPC,Central
48,Anpara Thermal Power Station,Anpara,Sonbhadra,Uttar Pradesh,Northern,24°12′11″N 82°47′18″E﻿ / ﻿24.20306°N 82.78833°E﻿ / 24.20306; 82.78833﻿ (Anpara Thermal Power Station),"3 x 210, 2 x 500, 2X500","2,630",UPRVUNL,State
49,Suratgarh Super Thermal Power Plant,Suratgarh,Sri Ganganagar,Rajasthan,Northern,29°10′56″N 74°01′09″E﻿ / ﻿29.18222°N 74.01917°E﻿ / 29.18222; 74.01917﻿ (Suratgarh Super Thermal Power Plant),6 x 250,"1,500",RVUNL,State
50,Panipat Thermal Power Station,Assan,Panipat,Haryana,Northern,,"2 x 250, 2 x 210$, 4 x 110$",710,HPGCL,State
51,Obra Thermal Power Station,Obra,Sonbhadra,Uttar Pradesh,Northern,24°26′41″N 82°58′41″E﻿ / ﻿24.44472°N 82.97806°E﻿ / 24.44472; 82.97806﻿ (Orba Thermal Power Station),"2 x 50$, 1 x 40, 1 x 94$, 2 x 94, 5 x 200","1,188",UPRVUNL,State
52,Guru Gobind Singh Super Thermal Power Plant,Ghanauli,Rupnagar,Punjab,Northern,31°02′32″N 76°35′02″E﻿ / ﻿31.04222°N 76.58389°E﻿ / 31.04222; 76.58389﻿ (Guru Gobind Singh Super Thermal Power Plant),"4 x 210,$ 4 x 210",840,PSPCL,State
53,Talwandi Sabo Power Project,Banawala,Mansa,Punjab,Northern,29°53′31″N 75°12′53″E﻿ / ﻿29.89194°N 75.21472°E﻿ / 29.89194; 75.21472﻿ (Talwandi Sabo Power Limited),3 × 660,1980,Vedanta Limited,Private
54,Kota Super Thermal Power Plant,Kota,Kota,Rajasthan,Northern,25°10′17″N 75°48′54″E﻿ / ﻿25.17139°N 75.81500°E﻿ / 25.17139; 75.81500﻿ (Kota Super Thermal Power Plant),"2 x 110, 3 x 210, 2 x 195","1,240",RVUNL,State
55,Rosa Thermal Power Plant,Rosa,Shahjahanpur,Uttar Pradesh,Northern,27°49′07″N 79°56′10″E﻿ / ﻿27.81861°N 79.93611°E﻿ / 27.81861; 79.93611﻿ (Rosa Thermal Power Plant),4 x 300,"1,200[22]",Reliance Power Limited,Private
56,Rajiv Gandhi Thermal Power Station,Khedar,Hisar,Haryana,Northern,29°21′25″N 75°52′02″E﻿ / ﻿29.35694°N 75.86722°E﻿ / 29.35694; 75.86722﻿ (Rajiv Gandhi Thermal Power Station),2 x 600,"1,200",HPGCL,State
57,Indira Gandhi Super Thermal Power Project,Jharli,Jhajjar,Haryana,Northern,29°21′25″N 75°52′02″E﻿ / ﻿29.35694°N 75.86722°E﻿ / 29.35694; 75.86722﻿ (Indira Gandhi Super Thermal Power Project),3 x 500,"1,500",Aravali Power Company India Limited,Central
58,Raj West Lignite Power Plant,Barmer,Barmer,Rajasthan,Northern,25°53′20″N 71°19′25″E﻿ / ﻿25.88889°N 71.32361°E﻿ / 25.88889; 71.32361﻿ (Raj West Lignite Power Plant),8 x 135,"1,080",JSW Energy,Private
59,Feroj Gandhi Unchahar Thermal Power Plant,Unchahar,Raebareli,Uttar Pradesh,Northern,25°54′52″N 81°19′33″E﻿ / ﻿25.91444°N 81.32583°E﻿ / 25.91444; 81.32583﻿ (Feroj Gandhi Unchahar Thermal Power Plant),5 x 210,"1,050",NTPC,Central
60,Guru Hargobind TP,Lehra Mohabbat,Bathinda,Punjab,Northern,30°16′04″N 75°09′53″E﻿ / ﻿30.26778°N 75.16472°E﻿ / 30.26778; 75.16472﻿ (Guru Hargobind Thermal Plant),"2 x 210$, 2 x 250",500,PSPCL,State
61,Badarpur Thermal Power Station,Badarpur,New Delhi,Delhi,Northern,28°30′22″N 77°18′26″E﻿ / ﻿28.50611°N 77.30722°E﻿ / 28.50611; 77.30722﻿ (Badarpur Thermal power plant),"3 x 95$, 2 x 210$",-,NTPC,Central
62,Parichha Thermal Power Station,Parichha,Jhansi,Uttar Pradesh,Northern,25°30′51″N 78°45′36″E﻿ / ﻿25.51417°N 78.76000°E﻿ / 25.51417; 78.76000﻿ (Parichha Thermal Power Station),"2 x 110, 2 x 210, 2 x 250",1140,UPRVUNL,State
63,Lalitpur Thermal Power Station,Mehroni,Lalitpur,Uttar Pradesh,Northern,25°30′53″N 78°45′34″E﻿ / ﻿25.51472°N 78.75944°E﻿ / 25.51472; 78.75944﻿ (Lalitpur Thermal Power Station),3 x 660,1980,Bajaj Hindustan Ltd.,Joint
64,Deenbandhu Chhotu Ram Thermal Power Station,Yamuna Nagar,Yamuna Nagar,Haryana,Northern,,2 x 300,600,HPGCL,State
65,Chhabra Thermal Power Plant,Mothipura,Baran,Rajasthan,Northern,24°37′14″N 77°02′10″E﻿ / ﻿24.62056°N 77.03611°E﻿ / 24.62056; 77.03611﻿ (Chhabra Thermal Power Plant),2 x 250,500,RVUNL,State
66,Guru Nanak Dev Thermal Plant,Bathinda,Bathinda,Punjab,Northern,30°14′02″N 74°55′26″E﻿ / ﻿30.23389°N 74.92389°E﻿ / 30.23389; 74.92389﻿ (Guru Nanak Dev Thermal Plant),4 x 110$,00,PSPCL,State
67,Tanda Thermal Power Plant,Vidyutnagar,Ambedkar Nagar,Uttar Pradesh,Northern,26°35′22″N 82°36′04″E﻿ / ﻿26.58944°N 82.60111°E﻿ / 26.58944; 82.60111﻿ (Tanda Thermal Power Plant),4 x 110,440,NTPC,Central
68,Barsingsar Thermal Power Station,Barsingsar,Bikaner,Rajasthan,Northern,27°49′09″N 73°12′28″E﻿ / ﻿27.81917°N 73.20778°E﻿ / 27.81917; 73.20778﻿ (Neyveli Lignite Corporation),2 x 125,250,NLC,Central
69,Giral Lignite Power Plant,Thumbli,Barmer,Rajasthan,Northern,26°02′44″N 71°15′13″E﻿ / ﻿26.04556°N 71.25361°E﻿ / 26.04556; 71.25361﻿ (Giral Lignite Power Plant),2 x 125,250,RVUNL,State
70,Harduaganj Thermal Power Station,Harduaganj,Aligarh,Uttar Pradesh,Northern,28°01′00″N 78°07′50″E﻿ / ﻿28.01667°N 78.13056°E﻿ / 28.01667; 78.13056﻿ (Harduaganj Thermal Power Station),"1 x 55, 1 x 60$, 1 x 105",160,UPRVUNL,State
